id,source_tab,enabled,category,keyword,recommended_word,morphological_setting,check_item,basic_comment_preview,explanation,admin_memo,source_file,source_page,source_row,extraction_note
1,ルール推敲,True,ひらがなで書くほうがよい言葉,繋ご,つなご,OFF,繋ご → つなご,「つなご」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,1,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
2,ルール推敲,True,ひらがなで書くほうがよい言葉,繋げ,つなげ,OFF,繋げ → つなげ,「つなげ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,2,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
3,ルール推敲,True,ひらがなで書くほうがよい言葉,繋ぐ,つなぐ,OFF,繋ぐ → つなぐ,「つなぐ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,3,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
4,ルール推敲,True,ひらがなで書くほうがよい言葉,繋ぎ,つなぎ,OFF,繋ぎ → つなぎ,「つなぎ」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,4,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
5,ルール推敲,True,ひらがなで書くほうがよい言葉,繋が,つなが,OFF,繋が → つなが,「つなが」とひらがなで書くほうがよいかもしれません。,漢字表記よりも、ひらがな表記のほうが読みやすい可能性があります。読み手や文脈に合わせて、ひらがなに開くことを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,5,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
6,ルール推敲,True,フリールール,ホームページ,サイト,OFF,ホームページ → サイト,サイト,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,6,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
7,ルール推敲,True,フリールール,ホームページアドレス,URL,OFF,ホームページアドレス → URL,URL,独自ルールとして、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,7,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
8,ルール推敲,True,カタカナで書くほうがよい言葉,Email,メールアドレス,OFF,Email → メールアドレス,「メールアドレス」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,8,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
9,ルール推敲,True,カタカナで書くほうがよい言葉,Eメール,メールアドレス,OFF,Eメール → メールアドレス,「メールアドレス」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,9,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
10,ルール推敲,True,カタカナで書くほうがよい言葉,断トツ,ダントツ,OFF,断トツ → ダントツ,「ダントツ」とカタカナで書くほうがよいかもしれません。,表記を統一するため、推奨ワードへの置き換えを検討してください。,,FireShot Capture 033相当 / ルール推敲 1/4ページ,1,10,キャプチャ画面から読み取り。補足欄・管理メモ欄は画面上で全文確認できない箇所があるため、基本コメントを中心に整理。
