source_tab,enabled,category,check_item,explanation,admin_memo
チェックリスト,True,わかりやすさのチェックリスト,「箇条書き」を用いて、整理できる箇所はありませんか？,"複数の項目を含む文章の場合、箇条書きを用いて整理するとわかりやすくなります。

【before】
白ワインには、シャルドネとソーヴィニヨン・ブランとリースリングという有名なブドウ品種があるんです。
↓
【after】
白ワインを学ぶ上で知っておくべきブドウ品種は以下の3つです。

1．シャルドネ
2．ソーヴィニヨン・ブラン
3．リースリング",
チェックリスト,True,わかりやすさのチェックリスト,短く、シンプルに略せる文章はありませんか？,"同じ意味であれば、文章は短くしたほうが読みやすくなります。

【before】
ライティングにおける非常に重要なポイントは、書いた文章をいかに素早く推敲することができるかです。
↓
【after】
ライティングの重要なポイントは、書いた文章をできるだけ素早く推敲することです。",
チェックリスト,True,わかりやすさのチェックリスト,「主語」と「述語」の距離は近いですか？,"主語と述語の距離を近くしたほうが、わかりやすい文章になります。

【before】
そのボクサーは2019年10月、後楽園ホールにて、チャンピオンベルトを巻いた。
↓
【after】
2019年10月、後楽園ホールにて、そのボクサーはチャンピオンベルトを巻いた。",
チェックリスト,True,わかりやすさのチェックリスト,長い修飾語は「前」に、短い修飾語は「後」に書いていますか？,"長い修飾語は「前」に、短い修飾語は「後」に書くことで、わかりやすい文章になります。

【before】
赤色の買ったばかりのPC
↓
【after】
買ったばかりの赤色のPC",
チェックリスト,True,わかりやすさのチェックリスト,大きな状況は「前」に、小さな状況は「後」に書いていますか？,"大きな状況は「前」に、小さな状況は「後」に書くことで、わかりやすい文章になります。

【before】
お台場海浜公園で、2019年の12月、有志によるクリスマスイベントが開かれます。
↓
【after】
2019年の12月、お台場海浜公園で、有志によるクリスマスイベントが開かれます。",
チェックリスト,True,わかりやすさのチェックリスト,三つ以上の語句を並べる場合は、「と」「や」などは最初にもってきていますか？,"三つ以上の語句を並べる場合は、「と」「や」などは先にもってくると、わかりやすい文章になります。

【before】
東京、京都や大阪に行ってみたい。
↓
【after】
東京や京都、大阪に行ってみたい。",
チェックリスト,True,わかりやすさのチェックリスト,「指示代名詞」を使い過ぎていませんか？,"指示語が多すぎると、読み手が「その指示語は何を指していたのか？」がわからなくなるケースがあります。
よって、指示語はあえて少し減らし、「普通名詞」「固有名詞」を多めに使ったほうがよいでしょう。
（とくに、スマートフォンで斜め読みする人にとっては、「普通名詞」「固有名詞」が多めのほうが内容を理解しやすくなります）

【before】
イタリアワインは多彩な表情をもったワインです。
このワインの勢いは本物です。
なぜなら、このワインは、ブドウが不作だった2014年を除き、2012年からワイン生産量の世界一をキープしているからです。
↓
【after】
イタリアワインは多彩な表情をもったワインです。
イタリアワインの勢いは本物です。
なぜなら、イタリアワインは、ブドウが不作だった2014年を除き、2012年からワイン生産量の世界一をキープしているからです。",
チェックリスト,True,わかりやすさのチェックリスト,できるだけ最初に「結論」を書くようにしていますか？,"できるだけ最初に結論をもってくるほうが、読み手のモチベーションが続きやすく、完読してもらいやすくなります。
「結論　→　理由　→　事例（具体例）　→　再度結論を伝える」という「PREP法」を意識するとよいでしょう。

P＝Point（結論）
R＝Reason（理由）
E＝Example（事例、具体例）
P＝Point（結論を繰り返す）

●例文
ライティングでもっとも大切なことは「読み手が欲しい情報」を届けることです。
なぜなら、多くの読み手は文章を読みたいわけではなく、情報を知りたいだけだからです。

たとえば、あなたにとって重要な情報が書かれている記事があったとします。
その記事に誤字脱字が少しあったとして、読まない理由になるでしょうか？
おそらく、多少の誤字脱字があったとしても、最後まで読んでしまうはずです。

よって、ライティングでもっとも大切なことは、「読み手が欲しい情報」を届けることだといえるのです。",
チェックリスト,True,わかりやすさのチェックリスト,読み手に共感してもらうための「感情表現」は意識していますか？,"たとえば「話し言葉」が使える文章であれば、以下のような「話し言葉」を入れると、あなたの感情が相手に伝わりやすくなり、相手が共感しやすくなります。
感情が見えない文章には、人は共感しにくいものです。
共感してほしいのであれば、あなたの感情が宿った文章を書きましょう。

●例文
あなたは文章を書いているとき、「もっと語彙力があればなあ・・・」と肩を落としたことはありませんか？


また、上記の「話し言葉」はあくまでも、感情を伝えるひとつの方法です。
話し言葉を使わずとも、文賢の【文章表現】機能を使えば、感情の伝わる文章に仕上げることは難しくありません。

たとえば、文賢の【文章表現】機能には、「好き」という感情を表すための表現がたくさん用意されています。


●文章表現の例
・笑顔を抑えきれない
・うれしそうな顔をほこらばせる
・相手のことで頭が一杯になる
・ハートを射貫かれる
・嬉しすぎて鳥肌が立つ
・語り始めると止まらない
・うれしすぎて大声で叫びたくなる
・心が奪われるほどの


文賢の【文章表現】機能はあくまでも、ひとつの感情表現を取り上げたものです。
あなたなりの感情表現を考えてみてくださいね。",
チェックリスト,True,わかりやすさのチェックリスト,取り上げている情報は信頼できるものですか？ウェブや書籍から情報を引用したり、参考にしたりする場合は「出典」を明記しましたか？,"わかりやすい文章を書けば書くほど、その情報が相手にストレートに伝わりやすくなります。
そして、それと同時に、情報を伝える側の責任もよりいっそう強くなります。

よって、何かの情報を取り上げる場合は、その情報が信頼できるものかを確認しましょう。
また、ウェブや書籍から情報を引用したり、参考にしたりする場合は、出典を明記しましょう。

ちなみに、引用する際は、以下のルールを守るようにしてください。

▼引用のルール
1．オリジナル部分と引用部分の主従関係が明確であり、引用されている文章や画像は、あくまでもオリジナル部分を補足する程度である
2．オリジナル部分と引用部分の区別がハッキリしている
3．引用する必要性がある
4．出典元を明記している
5．改変せずにそのまま引用している


上記の引用のルールに当てはまるケースや、著作者からの許可をとっているケースを除き、他者の文章や画像を許可なく転載すると、著作権侵害となる可能性があります。
とくに「歌詞の掲載」や「要約」などには注意しましょう。

●ブログへの歌詞掲載について（JASRAC）
https://www.jasrac.or.jp/info/network/pickup/blog.html

●最新のベストセラー小説のあらすじを書いて、ホームページに掲載することは、著作権者に断りなく行えますか？（文化庁）
https://pf.bunka.go.jp/chosaku/chosakuken/naruhodo/answer.asp?Q_ID=0000338",
チェックリスト,True,公に発信する際に注意すべきチェックリスト,「あなたのことをよく知らない人」が読んだときに、誤解を与える内容ではありませんか？,"インターネット上では、あなたのことをよく知らない人が、あなたの文章を読む場合があります。
「こう書いておけばよかった・・・」「あれも書いておけばよかった・・・」と後悔しないよう、誤解されるような書き方になっていないか、足りない情報がないかを注意しましょう。",
